Time,Trace_vel,Backaz,MdCCM,Sigma_tau,datetime,airt_c_avg,nearest_met_time,met_time_difference_s,vel_corrected_5C,label,Pressure,Duration_seconds
20310.057083333333,0.3281845874933531,332.2699255968631,0.545814607833947,0.0086575540136086,2025-08-10 01:22:12.000000,1.906,2023-04-23 13:00:00,-188.0,0.3300252373813286,Glacier,0.037031933344254364,20.0
19253.08888888889,0.3262387339095405,331.0682526029144,0.9216389122804676,0.0056962840715926,2022-09-18 02:08:00.000000,-2.725,2024-01-06 11:45:00,-46644.0,0.3308656151674086,Glacier,0.29474843097511816,20.0
20010.286574074074,0.3268149978082495,327.41596060694803,0.5691313058985731,0.0051653207183977,2024-10-14 06:52:40.000000,1.156,2026-02-22 16:30:00,-408.0,0.3290969497138361,Glacier,0.026196155084225008,20.0
20213.43726851852,0.3266130649101771,327.2642710596653,0.7057376150510326,0.0221789039570553,2025-05-05 10:29:40.000000,0.443,2023-01-13 06:30:00,-268.0,0.32932188636374515,Glacier,0.07324517841304856,20.0
19723.34652777778,0.3294816282975812,332.1955343871078,0.8818402192618242,0.0222468581126154,2024-01-01 08:19:00.000000,4.303,2025-05-20 16:15:00,-416.0,0.3298952202366519,Glacier,0.0770471343897879,20.0
20312.229166666668,0.3266027837702832,326.1531278291475,0.9656225543190728,0.0085471604077569,2025-08-12 05:30:00.000000,-0.12,2023-04-25 16:45:00,196.0,0.3296508726038072,Glacier,1.7785898642137696,20.0
20350.755,0.3315344398381358,326.03659709265906,0.3994620465836717,0.0189257788030877,2025-09-19 18:07:12.000000,5.79,2023-06-05 04:30:00,164.0,0.3310646292799096,Glacier,0.03392641248454531,20.0
19669.255462962963,0.3260264578436359,331.41946082148405,0.3759262389569059,0.0056285879768546,2023-11-08 06:07:52.000000,1.547,2025-04-03 06:45:00,-112.0,0.32806916968758654,Glacier,0.31976180014534444,20.0
20248.89111111111,0.3248122048058058,331.80620944690594,0.9392464116640044,0.0205021218009316,2025-06-09 21:23:12.000000,-5.156,2023-02-18 09:30:00,-300.0,0.3309095767773324,Glacier,0.1232945516858731,20.0
20024.837314814817,0.3201738660594215,326.91537453423524,0.9450391138115444,0.0089276175906495,2024-10-28 20:05:44.000000,-11.73,2026-03-09 05:30:00,28.0,0.330260023192671,Glacier,0.347923817091305,20.0
19297.27087962963,0.3256516671724033,328.9700380429292,0.7032792467908414,0.0085588459085685,2022-11-01 06:30:04.000000,0.14,2024-02-20 15:15:00,376.0,0.32853448892926285,Glacier,0.07002563470067946,20.0
19663.50875,0.3259066398352649,331.9081890185242,0.952984385148191,0.007167598768514,2023-11-02 12:12:36.000000,0.998,2025-03-29 17:00:00,-164.0,0.3282768064105315,Glacier,0.7813314022817613,20.0
19640.793194444446,0.3276855381176867,327.301242622406,0.7004330722604981,0.0049393733673082,2023-10-10 19:02:12.000000,-1.444,2025-03-09 09:45:00,-272.000001,0.33154859556504374,Glacier,0.06356669386010864,20.0
19299.02375,0.326563199262273,326.43075196992527,0.949607233787226,0.008366727367669,2022-11-03 00:34:12.000000,-2.717,2024-02-22 08:45:00,356.0,0.3311897834824179,Glacier,0.6411594473441993,20.0
20330.54912037037,0.3281846423788515,328.13293466482395,0.4085903003277864,0.0089450277536999,2025-08-30 13:10:44.000000,4.254,2023-05-16 04:15:00,-436.0,0.32862562622673447,Glacier,0.12166834310493616,20.0
19619.823333333334,0.3275198144329572,330.9205741135583,0.7376749589364764,0.0051172692488419,2023-09-19 19:45:36.000000,1.293,2025-02-16 19:00:00,-200.0,0.3297243587917254,Glacier,0.058186391778587115,20.0
19989.948842592592,0.3288076004158833,332.6579150672146,0.9307786242790276,0.0084564493336777,2024-09-23 22:46:20.000000,3.302,2026-02-02 02:45:00,104.0,0.329815841664044,Glacier,1.0290996091978366,20.0
19262.209722222226,0.3262387339095405,331.0682526029144,0.9406026470840496,0.0056962840715926,2022-09-27 05:02:00.000000,-3.45,2024-01-15 10:15:00,-348.0,0.33131002855128966,Glacier,0.972830277423612,20.0
19287.85587962963,0.3229004678461635,333.65841267379136,0.7946036371159846,0.0055376013114154,2022-10-22 20:32:28.000000,-4.277,2024-02-11 07:15:00,48.0,0.3284237910623197,Glacier,0.10468012437703408,20.0
19723.536898148148,0.3287892186426369,327.9410539690891,0.9503863894521396,0.0168564731733262,2024-01-01 12:53:08.000000,3.092,2025-05-20 20:15:00,184.000001,0.3299227362001798,Glacier,0.12550781894912483,20.0
